TRINITY_DN0_c0_g1	AT5G58270.1
TRINITY_DN16752_c3_g1	AT1G51760.1
TRINITY_DN16753_c0_g1	AT1G25210.2
TRINITY_DN16757_c1_g4	AT3G20980.1
TRINITY_DN1676_c0_g1	AT3G01180.1
TRINITY_DN16761_c0_g1	AT2G07690.1
TRINITY_DN16762_c0_g1	AT4G28600.2
TRINITY_DN16764_c0_g1	AT3G05850.1
TRINITY_DN1677_c0_g1	AT5G24840.1
TRINITY_DN16771_c0_g1	AT1G64960.2
TRINITY_DN1678_c0_g1	AT1G06740.1
TRINITY_DN1678_c1_g1	ATMG00710.1
TRINITY_DN1678_c2_g1	AT4G23160.3
TRINITY_DN1679_c0_g1	AT1G77140.1
TRINITY_DN16791_c0_g1	AT4G32140.1
TRINITY_DN16796_c1_g1	AT5G07610.1
TRINITY_DN16798_c0_g1	AT1G64530.1
TRINITY_DN16799_c0_g1	AT1G20990.1
TRINITY_DN168_c0_g1	AT5G66180.2
TRINITY_DN168_c0_g2	AT3G23330.1
TRINITY_DN1680_c0_g1	AT5G17920.2
TRINITY_DN16801_c0_g1	AT1G42540.4
TRINITY_DN16807_c0_g1	AT5G38710.1
TRINITY_DN16809_c0_g1	AT1G15490.2
TRINITY_DN1681_c0_g1	AT5G35200.2
TRINITY_DN16813_c0_g1	AT1G19260.1
TRINITY_DN16814_c0_g1	AT4G34980.1
TRINITY_DN16815_c0_g1	AT3G55605.1
TRINITY_DN16816_c0_g2	AT5G40610.1
TRINITY_DN16817_c0_g1	AT5G51300.3
TRINITY_DN16821_c0_g1	AT5G18200.1
TRINITY_DN16825_c0_g1	AT4G14480.1
TRINITY_DN16826_c0_g1	AT3G25130.1
TRINITY_DN16829_c0_g1	AT1G77320.1
TRINITY_DN1683_c1_g1	AT5G05320.1
TRINITY_DN16835_c0_g1	AT2G25810.1
TRINITY_DN16836_c0_g1	AT3G62910.1
TRINITY_DN16839_c3_g1	AT3G47570.1
TRINITY_DN1684_c0_g1	AT3G03570.1
TRINITY_DN16844_c0_g1	AT5G13930.1
TRINITY_DN16845_c0_g1	AT1G08290.1
TRINITY_DN1685_c0_g1	AT1G09620.1
TRINITY_DN16851_c0_g2	AT5G05140.1
TRINITY_DN16853_c0_g1	AT3G16100.1
TRINITY_DN16854_c0_g1	AT2G28930.2
TRINITY_DN16856_c0_g1	AT1G76070.1
TRINITY_DN16857_c1_g1	AT5G05400.1
TRINITY_DN16858_c0_g1	AT1G72730.1
TRINITY_DN16862_c0_g1	AT4G23180.3
TRINITY_DN16864_c0_g2	AT3G18430.3
TRINITY_DN16867_c0_g1	AT3G58880.1
TRINITY_DN16867_c1_g1	AT5G57170.1
TRINITY_DN16868_c0_g2	AT1G64100.3
TRINITY_DN1687_c0_g1	AT1G16310.2
TRINITY_DN1688_c0_g1	AT1G36050.2
TRINITY_DN16881_c0_g1	AT1G56690.1
TRINITY_DN16882_c0_g1	AT5G18250.1
TRINITY_DN16887_c0_g1	AT2G10940.2
TRINITY_DN1689_c0_g1	AT2G02820.3
TRINITY_DN1689_c1_g1	AT1G71790.1
TRINITY_DN16897_c0_g1	AT4G34320.2
TRINITY_DN16898_c0_g1	AT2G27770.1
TRINITY_DN16898_c1_g1	AT2G47160.1
TRINITY_DN16898_c1_g2	AT3G46950.1
TRINITY_DN169_c0_g1	AT3G20420.1
TRINITY_DN1690_c0_g1	AT2G38640.1
TRINITY_DN1690_c0_g2	AT2G38640.1
TRINITY_DN16903_c1_g1	AT3G19895.1
TRINITY_DN16906_c0_g4	AT1G06740.1
TRINITY_DN16908_c0_g1	AT3G45850.2
TRINITY_DN1691_c1_g1	AT3G12640.4
TRINITY_DN16912_c0_g1	AT5G09520.1
TRINITY_DN16917_c0_g2	AT5G14400.4
TRINITY_DN1692_c0_g1	AT5G11500.1
TRINITY_DN16920_c0_g1	AT5G66690.1
TRINITY_DN16921_c0_g1	AT2G39120.1
TRINITY_DN16922_c0_g2	AT3G15850.1
TRINITY_DN16926_c0_g1	AT4G10020.1
TRINITY_DN1693_c0_g1	AT2G36480.2
TRINITY_DN16933_c0_g1	AT2G37630.1
TRINITY_DN16934_c0_g1	AT4G37250.1
TRINITY_DN16937_c0_g2	AT3G28670.3
TRINITY_DN1694_c0_g1	AT5G14800.1
TRINITY_DN16944_c0_g1	AT4G36210.2
TRINITY_DN16944_c0_g2	AT4G36210.1
TRINITY_DN16949_c0_g1	AT1G75950.1
TRINITY_DN1695_c0_g1	AT1G03475.1
TRINITY_DN16951_c0_g1	AT1G07650.3
TRINITY_DN16953_c0_g1	AT3G18620.1
TRINITY_DN16956_c0_g1	AT5G18930.1
TRINITY_DN16958_c0_g1	AT2G35190.1
TRINITY_DN1696_c0_g1	AT1G24310.1
TRINITY_DN16965_c0_g2	AT4G39490.1
TRINITY_DN16965_c0_g3	AT2G23180.1
TRINITY_DN1697_c0_g1	AT3G07170.1
TRINITY_DN16970_c0_g1	AT5G21160.2
TRINITY_DN16971_c0_g1	AT2G31865.1
TRINITY_DN16974_c1_g1	AT3G03980.1
TRINITY_DN16980_c0_g1	AT3G48590.1
TRINITY_DN16983_c0_g1	AT2G40620.1
TRINITY_DN16987_c0_g1	AT1G19530.2
TRINITY_DN1699_c0_g1	AT5G63520.1
TRINITY_DN16991_c0_g1	AT1G04600.1
TRINITY_DN16992_c0_g1	AT5G19350.1
TRINITY_DN16995_c0_g1	AT1G26190.5
TRINITY_DN17_c0_g1	AT4G32830.1
TRINITY_DN17_c1_g1	AT5G16020.1
TRINITY_DN170_c0_g1	AT5G35200.2
TRINITY_DN170_c1_g1	AT1G52500.2
TRINITY_DN1700_c0_g1	AT5G55630.2
TRINITY_DN17006_c0_g1	AT5G18070.1
TRINITY_DN1701_c0_g1	AT1G12530.1
TRINITY_DN1702_c0_g1	AT3G47570.1
TRINITY_DN17022_c0_g1	AT2G37195.2
TRINITY_DN17024_c0_g1	AT4G30810.1
TRINITY_DN17027_c0_g1	AT4G24990.2
TRINITY_DN1703_c0_g1	AT5G54080.2
TRINITY_DN1703_c0_g2	AT5G54080.2
TRINITY_DN17035_c0_g1	AT5G08110.2
TRINITY_DN17036_c0_g1	AT5G09995.1
TRINITY_DN17037_c0_g1	AT2G36970.1
TRINITY_DN17039_c0_g1	AT4G21090.3
TRINITY_DN1704_c0_g1	AT5G62570.4
TRINITY_DN17041_c0_g2	AT4G27480.3
TRINITY_DN17043_c2_g1	ATMG00820.1
TRINITY_DN17044_c0_g1	AT3G02820.1
TRINITY_DN17045_c1_g1	AT1G44224.1
TRINITY_DN17046_c0_g2	AT4G11060.1
TRINITY_DN17048_c0_g1	AT3G07610.1
TRINITY_DN1705_c0_g1	AT1G14740.1
TRINITY_DN17052_c0_g1	AT3G42170.2
TRINITY_DN17057_c0_g1	AT1G27660.1
TRINITY_DN1706_c0_g1	AT1G08370.1
TRINITY_DN17060_c0_g1	AT1G73805.1
TRINITY_DN17061_c0_g1	AT5G19530.1
TRINITY_DN1707_c0_g1	AT1G02475.1
TRINITY_DN17070_c0_g1	AT1G25570.1
TRINITY_DN17071_c2_g1	AT4G23150.1
TRINITY_DN17072_c0_g1	AT1G04985.1
TRINITY_DN17076_c0_g1	AT3G02890.1
TRINITY_DN1708_c0_g1	AT1G79530.1
TRINITY_DN17081_c0_g1	AT2G41380.1
TRINITY_DN17083_c0_g1	AT1G78850.1
TRINITY_DN1709_c0_g1	AT1G17080.1
TRINITY_DN17096_c0_g1	AT3G47580.1
TRINITY_DN17096_c0_g2	AT3G47570.1
TRINITY_DN17096_c0_g3	AT3G47570.1
TRINITY_DN17098_c0_g1	AT4G24610.1
TRINITY_DN171_c0_g1	AT1G65020.1
TRINITY_DN1710_c0_g1	AT1G64190.1
TRINITY_DN17101_c0_g1	AT4G29090.1
TRINITY_DN17105_c1_g4	AT2G43370.1
TRINITY_DN1711_c0_g1	AT5G17000.2
TRINITY_DN17112_c0_g1	AT5G02880.1
TRINITY_DN17117_c0_g1	AT5G51550.1
TRINITY_DN1712_c0_g1	AT5G66730.1
TRINITY_DN17121_c0_g1	AT5G23810.5
TRINITY_DN17127_c0_g2	AT1G65380.1
TRINITY_DN1713_c0_g1	AT1G17530.2
TRINITY_DN17131_c0_g1	AT1G29940.1
TRINITY_DN17132_c0_g1	AT1G13450.1
TRINITY_DN17133_c1_g2	AT2G31060.1
TRINITY_DN17135_c0_g1	ATMG00860.1
TRINITY_DN17137_c0_g2	AT5G47550.1
TRINITY_DN1714_c0_g1	AT3G55800.1
TRINITY_DN1715_c0_g1	AT2G45260.1
TRINITY_DN17156_c0_g1	AT2G28390.1
TRINITY_DN1716_c0_g1	AT1G03900.1
TRINITY_DN17161_c0_g1	AT5G06720.1
TRINITY_DN17162_c0_g1	AT5G05480.1
TRINITY_DN1717_c0_g1	AT4G29940.2
TRINITY_DN17171_c0_g2	AT4G25810.1
TRINITY_DN17172_c0_g1	AT5G14720.2
TRINITY_DN17174_c0_g2	AT5G60710.1
TRINITY_DN17176_c0_g1	AT4G22130.2
TRINITY_DN17178_c0_g1	AT1G63690.1
TRINITY_DN17179_c0_g1	AT3G11820.1
TRINITY_DN1718_c0_g1	AT5G43330.1
TRINITY_DN17180_c0_g1	AT1G25360.1
TRINITY_DN17181_c0_g1	AT2G45700.1
TRINITY_DN17182_c0_g1	AT3G43210.5
TRINITY_DN17187_c1_g1	AT3G24330.1
TRINITY_DN1719_c0_g1	AT1G60190.1
TRINITY_DN17196_c0_g2	AT5G50700.1
TRINITY_DN17198_c0_g1	AT4G24040.1
TRINITY_DN1720_c0_g1	AT1G62750.1
TRINITY_DN17203_c0_g1	AT2G17030.1
TRINITY_DN17206_c0_g2	AT1G48650.2
TRINITY_DN17207_c0_g1	AT5G54260.1
TRINITY_DN1721_c0_g1	AT3G06145.1
TRINITY_DN17212_c0_g1	AT3G54460.1
TRINITY_DN17213_c0_g1	AT4G10613.1
TRINITY_DN17215_c1_g2	AT5G20980.2
TRINITY_DN17218_c0_g2	AT4G34700.1
TRINITY_DN17219_c0_g1	AT5G45840.1
TRINITY_DN1722_c0_g1	AT2G36370.1
TRINITY_DN1722_c0_g2	AT5G56750.1
TRINITY_DN17226_c0_g1	AT4G10300.1
TRINITY_DN17229_c0_g1	AT1G47480.1
TRINITY_DN1723_c0_g1	AT3G20650.1
TRINITY_DN17235_c0_g1	AT5G27390.1
TRINITY_DN17238_c0_g1	AT3G22430.1
TRINITY_DN1724_c0_g1	AT4G00720.1
TRINITY_DN17241_c0_g2	AT4G23690.1
TRINITY_DN17246_c0_g1	AT4G21670.1
TRINITY_DN1725_c0_g1	AT2G40000.1
TRINITY_DN17251_c0_g1	AT2G04700.3
TRINITY_DN17257_c0_g1	AT1G21380.1
TRINITY_DN17258_c0_g1	AT4G30440.1
TRINITY_DN17259_c0_g1	AT2G07760.1
TRINITY_DN17260_c0_g1	AT4G17650.1
TRINITY_DN17262_c0_g2	AT2G18050.2
TRINITY_DN17268_c0_g1	AT5G58040.2
TRINITY_DN1727_c0_g1	AT4G21150.3
TRINITY_DN17274_c0_g1	AT2G20980.1
TRINITY_DN17277_c0_g1	AT4G25330.1
TRINITY_DN1728_c0_g1	AT5G60020.2
TRINITY_DN1728_c2_g1	AT5G60020.3
TRINITY_DN17280_c0_g1	AT5G10720.1
TRINITY_DN17285_c0_g1	AT5G49980.1
TRINITY_DN1729_c0_g1	AT1G71710.2
TRINITY_DN17292_c0_g1	AT3G28720.1
TRINITY_DN17293_c0_g1	AT3G16640.1
TRINITY_DN17296_c0_g1	AT3G01420.1
TRINITY_DN17296_c1_g1	AT3G01420.1
TRINITY_DN17299_c0_g1	AT2G37390.2
TRINITY_DN173_c0_g1	AT2G19600.1
TRINITY_DN173_c0_g3	AT5G36880.6
TRINITY_DN1730_c0_g1	AT1G32230.6
TRINITY_DN17302_c0_g1	AT3G42170.1
TRINITY_DN17304_c0_g1	ATMG00820.1
TRINITY_DN17304_c3_g1	AT4G23160.3
TRINITY_DN1731_c0_g1	AT1G53440.1
TRINITY_DN1731_c1_g1	AT5G13490.2
TRINITY_DN1731_c2_g1	AT4G15840.1
TRINITY_DN1731_c2_g2	AT1G53440.1
TRINITY_DN1731_c2_g3	AT1G53440.1
TRINITY_DN1731_c3_g1	AT4G23230.1
TRINITY_DN1731_c4_g1	AT1G53430.2
TRINITY_DN1731_c4_g2	AT1G53430.1
TRINITY_DN17316_c0_g1	AT4G11130.1
TRINITY_DN17316_c1_g1	AT2G15780.1
TRINITY_DN1732_c0_g1	AT3G21630.1
TRINITY_DN17321_c0_g1	ATMG00300.1
TRINITY_DN17321_c0_g2	ATMG00300.1
TRINITY_DN17322_c0_g1	AT2G28315.1
TRINITY_DN17324_c0_g1	AT3G55080.4
TRINITY_DN1733_c0_g2	AT5G14250.2
TRINITY_DN17333_c0_g1	AT5G59180.1
TRINITY_DN1734_c0_g1	AT3G62600.1
TRINITY_DN17343_c0_g1	AT4G18050.1
TRINITY_DN17347_c0_g1	AT1G30480.1
TRINITY_DN1735_c0_g1	AT3G19910.1
TRINITY_DN17353_c0_g2	AT3G23670.1
TRINITY_DN17354_c0_g1	AT4G22010.1
TRINITY_DN17357_c0_g1	AT4G00755.2
TRINITY_DN1736_c0_g1	AT1G52600.1
TRINITY_DN17366_c0_g1	AT1G31320.1
TRINITY_DN1737_c0_g1	AT4G03390.2
TRINITY_DN1737_c1_g1	AT4G03390.2
TRINITY_DN17370_c0_g1	AT4G00810.2
TRINITY_DN17376_c0_g1	AT5G41880.1
TRINITY_DN17377_c0_g1	AT5G28150.1
TRINITY_DN17378_c0_g1	AT2G33550.1
TRINITY_DN17379_c0_g1	AT1G65780.1
TRINITY_DN1738_c0_g1	AT5G11460.1
TRINITY_DN17388_c0_g1	AT4G12490.1
TRINITY_DN17389_c0_g1	AT1G09020.1
TRINITY_DN1739_c0_g1	AT5G47910.1
TRINITY_DN17392_c0_g1	AT1G09700.2
TRINITY_DN174_c0_g1	AT5G50375.1
TRINITY_DN1740_c0_g1	AT5G14780.3
TRINITY_DN1740_c1_g1	AT5G04930.1
TRINITY_DN1740_c2_g1	AT1G16970.1
TRINITY_DN17401_c0_g1	AT2G25290.4
TRINITY_DN17403_c1_g1	AT4G15800.1
TRINITY_DN1741_c0_g1	AT1G72275.2
TRINITY_DN17411_c0_g1	AT1G09890.1
TRINITY_DN17413_c0_g1	AT1G55190.1
TRINITY_DN1742_c0_g1	AT3G21175.2
TRINITY_DN17421_c0_g1	AT5G07620.1
TRINITY_DN17427_c0_g1	AT4G27990.1
TRINITY_DN17429_c0_g1	AT1G54740.1
TRINITY_DN17429_c0_g2	AT1G54740.1
TRINITY_DN1743_c0_g1	AT1G70200.1
TRINITY_DN17434_c0_g2	AT1G02520.3
TRINITY_DN17435_c0_g1	AT1G73020.3
TRINITY_DN1744_c1_g1	AT3G48830.1
TRINITY_DN1744_c1_g2	AT1G77020.1
TRINITY_DN1744_c2_g1	AT1G76900.3
TRINITY_DN17446_c0_g2	AT5G49530.1
TRINITY_DN17448_c0_g1	AT5G09590.1
TRINITY_DN17449_c0_g2	AT3G13110.1
TRINITY_DN1745_c0_g1	AT1G14820.3
TRINITY_DN1745_c1_g1	AT5G19750.1
TRINITY_DN17459_c0_g1	AT1G27210.1
TRINITY_DN1746_c0_g1	AT2G27260.1
TRINITY_DN17464_c0_g2	AT5G38790.1
TRINITY_DN17466_c0_g1	AT5G64320.1
TRINITY_DN1747_c0_g1	AT2G05755.1
TRINITY_DN17472_c0_g1	AT3G19950.1
TRINITY_DN17477_c0_g1	AT2G25780.1
TRINITY_DN17478_c0_g1	AT3G14470.2
TRINITY_DN1748_c0_g1	AT1G17455.2
TRINITY_DN17480_c0_g1	AT5G45340.2
TRINITY_DN17492_c0_g1	AT1G78780.5
TRINITY_DN17499_c0_g1	AT5G13830.1
TRINITY_DN175_c0_g1	AT1G27600.2
TRINITY_DN1750_c0_g1	AT5G48720.3
TRINITY_DN17505_c0_g1	AT5G17630.1
TRINITY_DN17507_c0_g1	AT2G22740.2
TRINITY_DN1751_c0_g2	AT1G10510.1
TRINITY_DN17512_c0_g2	AT4G31170.8
TRINITY_DN17517_c0_g1	AT5G58000.1
TRINITY_DN17517_c1_g2	AT5G58000.2
TRINITY_DN17521_c1_g2	AT1G10180.1
TRINITY_DN1753_c1_g1	AT5G40760.2
TRINITY_DN1753_c3_g1	AT2G16770.2
TRINITY_DN17530_c0_g1	AT3G05850.1
TRINITY_DN1754_c0_g1	AT4G33090.1
TRINITY_DN1754_c0_g2	AT4G33090.1
TRINITY_DN17545_c0_g1	AT3G13310.1
TRINITY_DN17546_c0_g1	AT1G10760.3
TRINITY_DN17547_c1_g1	AT1G72560.7
TRINITY_DN17549_c0_g1	AT3G12280.2
TRINITY_DN1755_c0_g1	AT4G02260.2
TRINITY_DN17550_c0_g4	AT5G10730.1
TRINITY_DN1756_c0_g1	AT2G41820.1
TRINITY_DN17564_c1_g1	AT1G79000.3
TRINITY_DN17568_c0_g1	AT1G58310.1
TRINITY_DN1757_c0_g1	AT5G64220.2
TRINITY_DN17570_c1_g2	AT1G13440.1
TRINITY_DN17576_c1_g1	AT3G59050.1
TRINITY_DN17577_c0_g1	AT4G36690.2
TRINITY_DN17578_c0_g1	AT5G09760.1
TRINITY_DN17578_c0_g4	AT5G09760.1
TRINITY_DN17579_c0_g1	AT1G78760.1
TRINITY_DN1758_c0_g1	AT4G31210.3
TRINITY_DN1758_c0_g2	AT5G63440.2
TRINITY_DN17582_c0_g2	AT4G22880.3
TRINITY_DN17585_c0_g3	AT5G49830.1
TRINITY_DN17586_c0_g1	AT5G55150.1
TRINITY_DN17589_c0_g1	AT3G23410.2
TRINITY_DN1759_c0_g1	AT2G22870.1
TRINITY_DN1759_c1_g1	AT1G35180.1
TRINITY_DN17598_c0_g1	AT5G49410.2
TRINITY_DN17599_c0_g1	AT4G20520.1
TRINITY_DN176_c0_g1	AT5G65270.1
TRINITY_DN1760_c0_g1	AT1G31730.1
TRINITY_DN17600_c0_g1	AT1G29290.1
TRINITY_DN17602_c2_g1	AT1G12930.1
TRINITY_DN17606_c0_g1	AT4G39700.1
TRINITY_DN17607_c0_g1	AT5G26150.2
TRINITY_DN17608_c0_g1	AT1G03350.1
TRINITY_DN1761_c0_g1	AT3G58720.1
TRINITY_DN17611_c0_g1	AT1G29800.2
TRINITY_DN17611_c0_g2	AT3G43230.1
TRINITY_DN17612_c0_g2	ATMG00850.1
TRINITY_DN17617_c0_g1	AT1G55160.2
TRINITY_DN1762_c0_g1	AT4G16490.1
TRINITY_DN17621_c0_g1	AT1G49730.2
TRINITY_DN17628_c0_g2	AT3G22060.1
TRINITY_DN1763_c0_g1	AT1G61100.1
TRINITY_DN1763_c0_g2	AT1G53430.2
TRINITY_DN1763_c0_g3	AT1G53430.1
TRINITY_DN1763_c0_g4	AT5G35570.1
TRINITY_DN17632_c0_g1	AT5G16870.1
TRINITY_DN17635_c3_g1	AT5G46290.2
TRINITY_DN1764_c0_g1	AT2G25320.3
TRINITY_DN1764_c0_g2	AT2G22250.3
TRINITY_DN17642_c0_g1	AT2G37710.1
TRINITY_DN17642_c1_g1	AT3G53810.1
TRINITY_DN17642_c1_g3	AT2G37710.1
TRINITY_DN17647_c0_g1	AT3G18990.1
TRINITY_DN17648_c0_g1	AT5G39840.1
TRINITY_DN1765_c0_g1	AT2G01275.4
TRINITY_DN17657_c0_g1	AT5G57070.1
TRINITY_DN17658_c2_g1	AT3G24830.1
TRINITY_DN1766_c10_g1	AT4G18840.3
TRINITY_DN1766_c2_g1	AT4G34890.1
TRINITY_DN1766_c4_g1	AT3G63370.2
TRINITY_DN17662_c0_g1	AT2G40550.1
TRINITY_DN17663_c2_g1	AT1G59720.1
TRINITY_DN17667_c0_g1	AT2G34470.2
TRINITY_DN17667_c1_g1	ATCG01130.1
TRINITY_DN17670_c0_g1	AT2G44860.2
TRINITY_DN17671_c0_g1	AT1G72960.1
TRINITY_DN17671_c0_g2	AT3G13870.2
TRINITY_DN17672_c0_g1	AT5G23810.2
TRINITY_DN17678_c0_g1	AT1G64860.1
TRINITY_DN1768_c0_g1	AT4G30350.1
TRINITY_DN17680_c0_g1	AT1G03910.1
TRINITY_DN17682_c0_g2	AT3G24255.5
TRINITY_DN17684_c0_g1	AT1G71060.1
TRINITY_DN17685_c0_g1	AT2G34380.1
TRINITY_DN17687_c0_g1	AT5G19960.1
TRINITY_DN17690_c0_g2	AT3G14172.1
TRINITY_DN17695_c0_g1	AT2G36910.1
TRINITY_DN17696_c0_g1	AT2G06990.1
TRINITY_DN17699_c0_g2	AT5G45680.1
TRINITY_DN17699_c1_g1	AT1G47720.1
TRINITY_DN177_c0_g1	AT4G35090.1
TRINITY_DN177_c0_g2	AT4G35090.1
TRINITY_DN1770_c0_g1	AT4G24280.1
TRINITY_DN17704_c0_g1	AT4G02750.1
TRINITY_DN17712_c0_g1	AT3G54350.5
TRINITY_DN17713_c0_g1	AT2G24240.1
TRINITY_DN17715_c2_g1	AT5G41980.1
TRINITY_DN1772_c0_g1	AT3G61600.2
TRINITY_DN17721_c0_g2	AT3G44190.1
TRINITY_DN17722_c0_g1	AT5G58200.2
TRINITY_DN17724_c0_g1	AT3G47590.1
TRINITY_DN17727_c0_g1	AT2G37410.2
TRINITY_DN17729_c0_g1	AT5G59810.1
TRINITY_DN1773_c0_g1	AT5G57870.1
TRINITY_DN17737_c0_g1	AT5G41315.2
TRINITY_DN17743_c0_g1	AT1G17710.1
TRINITY_DN17746_c0_g1	AT1G29500.1
TRINITY_DN17747_c0_g1	AT1G26500.1
TRINITY_DN17749_c0_g1	AT5G57860.3
TRINITY_DN1775_c0_g1	AT5G65220.1
TRINITY_DN17752_c0_g2	AT2G06040.1
TRINITY_DN17754_c0_g1	AT3G47810.3
TRINITY_DN17755_c0_g1	AT4G13360.1
TRINITY_DN1776_c0_g1	AT1G80000.3
TRINITY_DN17761_c0_g1	AT4G23160.3
TRINITY_DN17762_c0_g1	AT4G00820.1
TRINITY_DN1777_c0_g1	AT2G37110.1
TRINITY_DN1777_c1_g1	AT1G69730.1
TRINITY_DN17774_c0_g1	AT3G42170.2
TRINITY_DN17776_c0_g1	AT5G66520.1
TRINITY_DN17780_c0_g1	AT2G02170.5
TRINITY_DN17781_c0_g1	AT1G25580.1
TRINITY_DN17785_c0_g1	AT1G60790.1
TRINITY_DN1779_c0_g1	AT5G65460.6
TRINITY_DN17790_c0_g1	AT4G38040.2
TRINITY_DN17791_c0_g2	AT1G67710.3
TRINITY_DN17797_c0_g1	AT5G03960.3
TRINITY_DN178_c0_g1	AT5G11700.2
TRINITY_DN1780_c0_g1	AT1G27290.2
TRINITY_DN17800_c0_g1	AT1G80150.1
TRINITY_DN17802_c0_g1	AT5G66540.2
TRINITY_DN17806_c0_g1	AT2G19490.1
TRINITY_DN1781_c0_g1	AT5G15780.1
TRINITY_DN1782_c0_g1	AT5G59400.1
TRINITY_DN1783_c0_g1	AT4G33410.1
TRINITY_DN17830_c0_g1	AT1G64260.2
TRINITY_DN17833_c0_g3	AT3G24800.1
TRINITY_DN17835_c0_g1	AT1G30010.1
TRINITY_DN17837_c0_g2	AT3G51070.1
TRINITY_DN1784_c0_g1	AT5G12860.1
TRINITY_DN17841_c0_g1	AT4G12300.1
TRINITY_DN17843_c0_g1	AT5G08510.1
TRINITY_DN17846_c0_g1	AT3G48750.1
TRINITY_DN17849_c0_g1	AT5G49320.1
TRINITY_DN1785_c0_g2	AT3G18390.1
TRINITY_DN17850_c0_g2	AT3G05625.2
TRINITY_DN17854_c0_g2	AT4G09550.2
TRINITY_DN1786_c0_g1	AT2G38550.1
TRINITY_DN17860_c0_g2	AT1G06740.1
TRINITY_DN17861_c0_g1	AT5G55670.2
TRINITY_DN17864_c0_g1	AT1G55280.1
TRINITY_DN17866_c0_g1	AT1G52620.1
TRINITY_DN17867_c0_g1	AT5G38110.1
TRINITY_DN17869_c0_g1	AT3G18200.1
TRINITY_DN1787_c0_g1	AT4G34980.1
TRINITY_DN17878_c0_g1	AT5G60340.1
TRINITY_DN1788_c0_g1	AT3G09310.1
TRINITY_DN17883_c0_g1	AT2G47020.5
TRINITY_DN17885_c0_g1	AT3G05340.1
TRINITY_DN17888_c0_g1	AT1G44790.1
TRINITY_DN1789_c0_g1	AT3G24880.3
TRINITY_DN1789_c1_g1	AT5G21430.1
TRINITY_DN1789_c2_g1	AT3G51950.4
TRINITY_DN1789_c3_g1	AT5G61190.1
TRINITY_DN17891_c0_g2	AT1G13410.1
TRINITY_DN17894_c0_g1	AT4G29090.1
TRINITY_DN179_c0_g1	AT5G43960.1
TRINITY_DN1790_c0_g1	AT4G35230.1
TRINITY_DN17902_c0_g1	AT4G38900.3
TRINITY_DN17906_c0_g1	AT4G25980.1
TRINITY_DN1791_c0_g1	AT1G16350.1
TRINITY_DN17912_c1_g1	AT5G17540.1
TRINITY_DN1792_c0_g1	AT1G52540.1
TRINITY_DN17922_c0_g1	AT1G10120.2
TRINITY_DN17926_c0_g1	AT1G30380.1
TRINITY_DN17930_c0_g1	AT2G23260.1
TRINITY_DN17931_c0_g1	AT3G06350.1
TRINITY_DN17933_c0_g1	AT5G02390.3
TRINITY_DN17933_c1_g1	AT1G07615.1
TRINITY_DN17939_c0_g1	AT1G49740.1
TRINITY_DN17939_c0_g3	AT4G02630.1
TRINITY_DN1794_c0_g1	AT1G28340.1
TRINITY_DN17940_c0_g1	AT3G59040.1
TRINITY_DN17948_c0_g1	AT5G37570.2
TRINITY_DN17949_c0_g1	AT2G20495.5
TRINITY_DN1795_c0_g1	AT1G49480.3
TRINITY_DN17951_c0_g1	AT3G06720.2
TRINITY_DN17952_c0_g2	AT1G33170.1
TRINITY_DN1796_c0_g1	AT2G29970.1
TRINITY_DN17961_c0_g2	AT4G10770.1
TRINITY_DN1797_c0_g1	AT4G15480.1
TRINITY_DN17972_c0_g1	AT1G52790.1
TRINITY_DN17973_c0_g1	AT4G02350.2
TRINITY_DN17976_c0_g1	AT3G42170.1
TRINITY_DN17976_c1_g1	AT3G42170.1
TRINITY_DN17977_c0_g1	AT1G13020.1
TRINITY_DN1798_c0_g1	AT5G47080.1
TRINITY_DN17981_c0_g1	AT5G09810.1
TRINITY_DN17982_c0_g1	AT5G49690.1
TRINITY_DN1799_c0_g1	AT4G16760.1
TRINITY_DN17994_c0_g1	AT3G14460.1
TRINITY_DN17998_c0_g1	AT2G30105.1
TRINITY_DN17999_c0_g1	AT5G39610.1
TRINITY_DN18_c0_g1	AT5G05690.3
TRINITY_DN180_c0_g1	AT5G14790.1
TRINITY_DN18001_c0_g1	AT5G35670.1
TRINITY_DN18002_c0_g1	AT1G06620.1
TRINITY_DN18003_c0_g1	AT5G03970.2
TRINITY_DN18006_c0_g1	AT3G24530.3
TRINITY_DN18007_c1_g1	AT2G26790.2
TRINITY_DN18009_c0_g1	AT4G29120.1
TRINITY_DN1801_c0_g1	AT3G17840.1
TRINITY_DN1801_c0_g2	AT3G14840.2
TRINITY_DN1801_c0_g3	AT3G20260.1
TRINITY_DN1801_c0_g4	AT1G53440.1
TRINITY_DN18018_c0_g1	AT2G04400.1
TRINITY_DN1802_c0_g1	AT1G16280.1
TRINITY_DN18023_c0_g1	AT3G15810.1
TRINITY_DN18027_c0_g1	AT3G47850.1
TRINITY_DN18028_c0_g1	AT4G24790.4
TRINITY_DN1803_c0_g1	AT1G05960.4
TRINITY_DN18036_c0_g1	AT5G65020.1
TRINITY_DN18039_c0_g1	AT5G13790.1
TRINITY_DN1804_c0_g1	AT4G04920.3
TRINITY_DN18041_c0_g1	AT4G39970.1
TRINITY_DN18041_c3_g1	AT2G07760.1
TRINITY_DN18043_c4_g1	AT4G16740.2
TRINITY_DN1805_c0_g1	AT4G01670.1
